06:20,5,SMS,01/20/2015,0-(000)061-7690,9-(993)280-9404
00:32,38,CALL,01/04/15,0-(008)297-1581,9-(984)524-5395
10:00,83,CALL,01/13/2015,0-(068)077-1770,9-(918)147-1451
14:44,1,CALL,06/27/2015,0-(070)893-3322,9-(905)546-2174
23:49,39,SMS,03/14/2015,0-(106)592-7420,9-(882)417-7531
07:12,3,SMS,06/15/2015,0-(107)633-7630,9-(879)321-8806
08:50,78,CALL,03/15/2015,0-(108)399-6802,9-(793)042-4668
03:07,61,CALL,03/26/2015,0-(166)471-4786,9-(784)116-2098
03:56,53,CALL,01/21/2015,0-(258)017-5502,9-(783)908-4945
09:55,13,CALL,06/19/2015,0-(273)550-0236,9-(777)035-6240
07:53,63,CALL,02/07/15,0-(377)507-0388,9-(776)276-2772
16:40,3,CALL,04/09/15,0-(389)565-5518,9-(730)063-7023
09:11,51,SMS,06/18/2015,0-(403)215-3959,9-(726)948-9585
04:30,39,SMS,01/14/2015,0-(404)296-6252,9-(721)729-4724
01:36,95,SMS,02/05/15,0-(410)474-3609,9-(714)869-1328
10:50,55,CALL,04/26/2015,0-(444)643-6212,9-(679)069-8265
19:34,33,SMS,07/20/2015,0-(500)627-6561,9-(659)123-3057
11:08,57,SMS,01/30/2015,0-(521)287-3218,9-(601)270-8329
00:31,62,SMS,02/14/2015,0-(540)877-1488,9-(596)676-9505
03:53,73,SMS,02/20/2015,0-(582)918-0385,9-(552)323-4287
11:58,73,CALL,02/22/2015,0-(608)989-7174,9-(500)342-6094
11:01,28,CALL,05/29/2015,0-(649)542-7430,9-(494)467-2643
23:33,59,SMS,01/13/2015,0-(711)302-8090,9-(488)105-0765
03:41,38,CALL,06/30/2015,0-(752)850-0116,9-(481)398-3676
19:53,63,CALL,04/13/2015,0-(807)194-4140,9-(472)628-7162
02:03,66,CALL,02/02/15,0-(812)878-4953,9-(450)223-5601
19:38,24,SMS,01/26/2015,0-(856)456-7561,9-(421)187-9169
10:51,76,SMS,04/06/15,0-(859)960-0588,9-(416)165-6660
03:28,90,SMS,05/17/2015,0-(867)193-2666,9-(402)926-5365
00:05,48,SMS,04/15/2015,0-(876)046-6467,9-(308)627-0220
22:00,33,SMS,01/28/2015,0-(896)258-8723,9-(277)720-3149
00:22,77,CALL,07/11/15,0-(896)880-3013,9-(243)847-6586
15:11,80,SMS,02/01/15,0-(900)337-7822,9-(233)340-7834
17:32,44,SMS,07/11/15,0-(911)214-7407,9-(228)769-6276
23:42,75,CALL,04/25/2015,0-(921)993-3153,9-(213)214-3672
01:55,3,SMS,02/15/2015,0-(934)666-0489,9-(209)833-0019
09:35,14,SMS,05/10/15,0-(934)821-3372,9-(209)549-2917
13:19,17,SMS,03/14/2015,0-(958)014-5229,9-(198)740-4163
23:20,9,CALL,03/23/2015,0-(990)661-7067,9-(196)734-8712
11:45,72,CALL,03/25/2015,1-(001)537-6718,9-(184)752-7135
04:04,96,SMS,02/25/2015,1-(060)256-9720,9-(170)612-4644
09:26,15,CALL,01/23/2015,1-(073)741-4897,9-(150)210-0568
16:45,45,CALL,01/11/15,1-(074)367-7899,9-(093)648-2093
07:55,7,CALL,03/30/2015,1-(085)127-5240,9-(074)489-3512
07:22,29,SMS,05/28/2015,1-(111)459-3206,9-(033)345-4193
12:25,3,SMS,05/09/15,1-(160)398-1258,9-(031)684-1601
15:30,15,SMS,03/08/15,1-(179)787-6778,9-(016)868-6919
21:31,16,CALL,07/08/15,1-(211)671-4218,9-(004)199-0442
19:02,15,CALL,05/31/2015,1-(225)632-0130,8-(994)862-7800
14:21,71,CALL,07/13/2015,1-(237)114-2594,8-(929)072-2814
09:41,89,CALL,06/29/2015,1-(247)773-0788,8-(858)072-9317
12:09,37,SMS,02/17/2015,1-(270)056-1454,8-(795)014-1355
07:53,17,CALL,07/12/15,1-(279)890-0480,8-(765)707-3948
01:37,73,SMS,06/07/15,1-(287)135-9498,8-(724)082-8314
13:23,63,SMS,07/05/15,1-(295)989-6911,8-(697)626-3419
15:23,51,SMS,02/03/15,1-(320)476-0733,8-(689)151-8054
03:17,57,SMS,07/02/15,1-(363)319-5228,8-(680)392-4596
02:57,35,CALL,01/28/2015,1-(373)787-1267,8-(657)218-7659
