117-66-8129,991-70-5333,SIBLING
622-53-3302,548-59-5017,PARENT
103-29-7243,999-29-5989,SIBLING
106-68-5787,997-39-2919,SIBLING
110-18-6264,996-09-4744,SIBLING
112-94-9006,994-09-7345,SIBLING
113-30-8586,993-88-2128,SIBLING
119-87-1045,990-52-4516,SIBLING
120-45-3938,989-68-4793,SIBLING
122-24-4317,989-23-7881,SIBLING
123-81-8601,989-22-1476,SIBLING
124-62-8265,987-59-4612,SIBLING
126-82-5442,987-40-2238,SIBLING
127-11-1779,986-04-6675,SIBLING
127-59-2137,984-17-1977,SIBLING
130-89-4232,983-64-1655,SIBLING
134-34-1081,982-63-5447,SIBLING
134-57-3180,980-16-2705,SIBLING
135-54-4235,979-94-2467,SIBLING
136-54-1810,978-46-8609,SIBLING
141-80-3376,969-04-3786,SIBLING
149-33-2968,963-95-7339,SIBLING
153-28-1245,961-53-9126,SIBLING
153-84-6426,958-75-0318,SIBLING
154-09-0635,957-92-8562,SIBLING
155-11-2211,956-83-1334,SIBLING
155-44-4026,955-01-1424,SIBLING
158-15-2345,953-95-2941,SIBLING
159-09-5595,953-14-5787,SIBLING
160-22-5998,952-73-8580,SIBLING
163-29-9131,952-45-2997,SIBLING
165-27-3409,950-70-2858,SIBLING
167-76-3129,950-60-6689,SIBLING
168-25-5098,950-28-8327,SIBLING
171-53-4230,948-70-6778,SIBLING
172-00-5715,948-27-2056,SIBLING
172-26-6683,947-46-3410,SIBLING
174-47-3857,945-57-6721,SIBLING
177-84-7592,944-80-8855,SIBLING
183-40-9142,944-64-3461,SIBLING
184-10-9619,943-67-2042,SIBLING
184-12-1381,941-09-1692,SIBLING
184-53-4381,938-61-9928,SIBLING
184-80-3895,937-44-1940,SIBLING
191-57-4490,932-97-4077,SIBLING
192-08-7348,931-42-1910,SIBLING
199-79-2329,931-18-5854,SIBLING
201-65-9754,930-19-7534,SIBLING
201-73-9145,929-39-8556,SIBLING
203-45-9808,923-13-4382,SIBLING
204-79-2659,918-23-4923,SIBLING
205-52-5697,917-80-4656,SIBLING
206-59-6235,915-75-5600,SIBLING
209-45-4933,915-74-6216,SIBLING
209-68-2617,913-69-6997,SIBLING
212-34-2732,913-31-1925,SIBLING
213-32-1448,910-33-1979,SIBLING
214-77-6416,903-87-6930,SIBLING
215-46-0151,900-49-2935,SIBLING
218-31-0921,900-41-3309,SIBLING
